"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1459,3.057175,1459,0,0,,
1503,3.054058,1503,0,0,,
1550,3.052127,1550,0,0,,
1600,3.050904,1600,0,0,,
1653,3.050526,1653,0,0,,
1710,3.049283,1710,0,0,,
1771,3.045972,1771,0,0,,
1837,3.042028,1837,0,0,,
1907,3.039663,1907,0,0,,
1984,3.038153,1984,0,0,,
2066,3.037604,2066,0,0,,
2156,3.035286,2156,0,0,,
2254,3.031472,2254,0,0,,
2362,3.029963,2362,0,0,,
2480,3.02864,2480,0,0,,
